Time [s] 	 CH1 	 BGND1 	 CH2 	 BGND2 
4.305	10313	6263	6831	6971
4.327	2689	2718	6139	6093
4.348	10849	6178	7285	6642
4.37	2678	2712	6112	6002
4.392	11099	5816	6892	6837
4.414	2965	2687	6171	6081
4.435	10906	6075	7019	6867
4.457	2773	2724	5993	6203
4.479	9876	6124	7407	6782
4.501	2752	2718	7013	6099
4.522	10057	6027	6952	6660
4.544	2833	2675	7068	6221
4.566	10704	5991	6720	6764
4.588	2857	2706	5813	5978
4.609	9338	5912	6744	6885
4.631	2925	2730	6277	6136
4.653	9593	6063	7476	6825
4.675	2824	2693	5537	6106
4.696	9777	6208	6597	6800
4.718	2935	2693	6108	6118
4.74	9544	5846	7108	6611
4.761	2850	2693	7819	6416
4.783	10685	6172	7113	6800
4.805	3221	2699	6433	6020
4.827	10387	6087	6720	6855
4.848	2759	2699	6856	6014
4.87	10446	6075	6727	7068
4.892	2919	2712	6427	6197
4.914	9513	5979	6936	6764
4.935	2767	2687	7377	6252
4.957	9754	6118	6603	6885
4.979	2762	2712	6414	6380
5.001	9979	5846	7364	6745
5.022	2663	2718	6450	6166
5.044	10791	6021	6039	6758
5.066	2680	2724	6120	6294
5.088	10015	6148	6350	7068
5.109	2735	2712	6654	6465
5.131	11228	6021	7131	6800
5.153	2677	2699	5962	6148
5.175	10221	6045	7113	6794
5.196	2689	2718	6245	6428
5.218	10084	6178	7024	6989
5.24	2770	2681	6123	6215
5.262	10044	6009	7035	6831
5.283	2769	2681	6150	6233
5.305	11155	5846	7138	6855
5.327	2807	2718	6795	6069
5.349	10463	5997	6451	6776
5.37	2815	2675	5911	6386
5.392	9488	6136	7563	6496
5.414	2660	2712	6105	6233
5.435	10835	5973	7197	6806
5.457	2696	2724	5974	6191
5.479	10480	6136	7403	6648
5.501	2769	2712	5737	5911
5.522	9835	5906	6593	6690
5.544	2670	2712	6255	6191
5.566	10602	6063	6627	6666
5.588	2712	2724	6402	6215
5.609	9486	5906	6610	6898
5.631	2798	2718	6307	6124
5.653	10020	5967	6844	6587
5.675	2841	2693	5542	6282
5.696	9179	5852	6893	6867
5.718	2734	2712	6421	6319
5.74	10436	5930	7386	6776
5.762	2861	2687	7604	6191
5.783	10254	6045	6631	6794
5.805	2919	2724	6253	6233
5.827	10311	5973	6903	6782
5.849	2738	2712	6131	6106
5.87	11950	5930	6990	6477
5.892	2838	2681	6286	6258
5.914	10370	6063	7130	6910
5.936	2813	2730	6241	5990
5.957	10599	6021	7045	6776
5.979	2803	2712	5926	5965
6.001	11512	5924	7079	6727
6.023	2872	2754	6374	6026
6.044	9499	5961	7853	6709
6.066	2787	2706	5689	6020
6.088	10297	6039	7677	6666
6.11	2903	2699	5831	6282
6.131	10594	5870	7776	6709
6.153	2895	2675	6345	6276
6.175	9560	6081	6939	7001
6.196	2839	2663	6911	6093
6.218	10537	5804	6741	6837
6.24	2988	2712	6801	6130
6.262	10413	5882	7002	6697
6.283	2761	2681	6165	6240
6.305	10100	5858	7461	6879
6.327	2778	2669	6090	6106
6.349	10530	6099	7313	6660
6.37	2805	2706	6956	6106
6.392	11767	5828	7157	6861
6.414	2775	2699	5892	6069
6.436	11063	6124	6887	6593
6.457	2751	2706	6436	6374
6.479	9942	6003	7178	6648
6.501	2653	2699	5766	6026
6.523	9424	6250	6987	6593
6.544	2814	2718	6135	6112
6.566	10742	6190	6366	6727
6.588	2768	2693	6130	6233
6.61	9765	6214	7510	6977
6.631	2970	2687	5655	6008
6.653	9848	6027	7326	6703
6.675	2940	2681	5810	6179
6.697	10004	5936	6524	6782
6.718	2857	2706	5758	6093
6.74	10071	5876	7109	6812
6.762	2840	2718	5974	6148
6.784	9617	5979	7417	6770
6.805	2912	2681	6515	6093
6.827	10452	5816	7004	6782
6.849	2927	2706	5956	5959
6.87	10900	6033	7561	6849
6.892	2834	2681	6241	6246
6.914	12149	5997	7619	6861
6.936	2748	2760	6509	5917
6.957	9986	6130	6792	6745
6.979	2674	2693	7054	5959
7.001	9995	5930	7543	6831
7.023	2727	2724	6438	6575
7.044	10592	5961	7270	7032
7.066	2724	2730	5672	5880
7.088	10249	6069	7500	6782
7.11	2814	2712	6042	6057
7.131	10265	6130	6856	6599
7.153	2879	2736	6125	6173
7.175	9964	6081	7141	6715
7.197	2713	2724	6681	5959
7.218	9661	5888	7408	6782
7.24	2775	2712	6243	6106
7.262	9528	5918	7300	6800
7.284	2755	2730	5935	6148
7.305	9951	5955	7259	6611
7.327	2780	2718	5876	6124
7.349	10461	5870	7353	6642
7.371	2826	2675	6291	6343
7.392	10000	5900	7310	6825
7.414	2795	2730	5703	6063
7.436	10678	6039	8145	6885
7.458	2703	2687	6031	6051
7.479	9741	6154	6535	6697
7.501	2830	2724	5855	6093
7.523	10000	5985	6405	6654
7.544	2743	2706	6421	6112
7.566	10807	6009	7197	6812
7.588	2787	2699	6357	6227
7.61	11182	6027	6709	6849
7.631	2698	2681	6403	6136
7.653	11067	5834	7718	6831
7.675	2883	2681	5169	6063
7.697	11122	6009	7691	6727
7.718	2748	2699	6783	6051
7.74	10499	5985	6819	6965
7.762	2830	2706	5845	5929
7.784	10022	6033	7428	6782
7.805	2762	2681	6548	6118
7.827	10435	6081	6647	6678
7.849	2815	2687	6324	6063
7.871	10277	5894	6956	6739
7.892	2822	2718	6109	6160
7.914	12186	6021	6880	6709
7.936	2767	2669	6148	6166
7.958	9485	5828	7250	6721
7.979	2789	2724	6454	6069
8.001	10249	5918	7022	6818
8.023	2712	2693	5603	6063
8.045	10500	5955	7254	6831
8.066	2860	2712	6083	6057
8.088	10717	5936	7094	6782
8.11	2789	2766	6393	5868
8.132	11040	5924	7692	6800
8.153	2663	2736	6766	6264
8.175	10249	5918	6987	6934
8.197	2784	2669	6693	6276
8.218	10625	5882	7661	6758
8.24	2773	2699	5825	5947
8.262	9268	5961	7353	6818
8.284	2713	2736	5721	6075
8.305	9960	5918	6359	6770
8.327	2717	2706	5692	5874
8.349	10645	5973	7025	6660
8.371	2780	2724	6050	6014
8.392	9171	5858	6440	6892
8.414	2771	2742	5896	6045
8.436	10358	5816	7364	6953
8.458	2686	2693	6103	5862
8.479	9899	6063	7524	6697
8.501	2858	2718	5580	5911
